"#DemDebate" "#acasabotage" "#peteforpresident" "#DemocraticDebate" "#YangGang" "#PeteButtigieg" "#Harris" "#Warren" "#ReformFirst" "#American" "#POTUS46" "#POTUS" "#DemDebates" "#debate" "#DemocraticDebates" "#LarryDavid" "#climate" "#Bannon" "#Biden2020" "#KamalaHarris" "#Bernie2020" "#msnbc" "#VicePresidentBiden" "#JulianDebates" "#WeAreBetoThanThis" "#DemDebatePresident" "#MedicareForAll" "#yanggang" "#TeamPete" "#CoalMineSteyer" "#demdebate" "#TdoR" "#putin" "#YangBeatsTrump" "#BadAss" "#ClimateChange" "#2020Election" "#MSNBC" "#PeteForPresident" "#LetYangSpeak" "#publiclands" "#Nevada" "#LivingWage" "#AmericanFarming" "#WealthTax" "#BoliviaCoup" "#letyangspeak" "#YangMediaBlackout" "#MigrantJusticePlatform" "#Cato2020" "#CatoTrade" "#BidenBaby" "#Warren2020" "#DreamBigFightHard" "#PaidFamilyLeave" "#childcare" "#Rigged" "#BernieSanders" "#ManchurianCandidate" "#Kamala2020" "#kamala" "#Demdebate" "#Tulsi" "#AskAboutAbortion" "#Mexico" "#Receipts" "#1" "#TeamWarren" "#PeteForAmerica" "#wallshade" "#MeTooReproductive" "#Klobuchar2020" "#ElizabethWarren" "#DemDEbate" "#EndorseAndrewYang" "#BoycottMSNBC" "#courage" "#integrity" "#momsforyang" "#MApoli" "#Kamala" "#LatinaEqualPay" "#climatechange" "#MakeItStop" "#StatusQuo" "#NotMeUs" "#ByeTulsi" "#KDH" "#KAMALA2020" "#ParaLaGente" "#Democrats" "#JusticeIsOnTheBallot" "#KHive" "#TransDayofRememberance" "#talklocal" "#PoliticalRevolution" "#AFutureToBelieveIn" "#AllOfUsIf" "#Democraticdebate" "#CripTheVote"
"#DemDebate" 8350 1 0 555 394 16 3 20 13 2 2 4 94 4 4 0 7 0 4 27 78 4 1 116 2 33 99 67 19 19 6 3 1 1 1 10 3 13 39 55 1 2 0 2 0 1 4 19 0 3 1 1 6 0 0 1 0 10 0 9 3 2 20 8 0 2 4 5 12 1 0 1 6 0 29 3 1 1 2 1 49 4 6 1 2 3 5 0 0 1 4 4 11 1 1 0 0 1 0 10
"#acasabotage" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#peteforpresident" 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#DemocraticDebate" 0 0 0 601 90 4 2 3 0 0 2 2 38 3 4 0 0 0 1 9 11 1 1 5 0 0 2 1 0 0 5 0 1 1 0 2 0 5 5 10 0 0 0 0 0 0 1 4 0 0 0 0 2 0 0 0 0 6 0 3 2 0 4 0 0 0 0 0 0 0 0 0 5 0 2 1 0 0 0 0 24 0 0 0 2 2 0 1 1 1 2 0 0 0 0 0 0 0 0 1
"#YangGang" 0 0 0 0 410 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 18 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#PeteButtigieg" 0 0 0 0 0 40 0 0 0 0 0 0 3 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#Harris" 0 0 0 0 0 0 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#Warren" 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 3 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#ReformFirst" 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#American" 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#POTUS46" 0 0 0 0 0 0 0 0 0 0 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#POTUS" 0 0 0 0 0 0 0 0 0 0 0 4 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#DemDebates" 0 0 0 0 0 0 0 0 0 0 0 0 94 2 1 0 0 0 1 1 5 1 0 0 0 0 1 0 1 0 5 0 0 0 0 0 0 1 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#debate" 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#DemocraticDebates" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#LarryDavid" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#climate" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
